id,FAMSIZE,SEX,AGE,MARST,BIRTHYR,YRMARR,RACE,HISPAN,HCOVANY,EDUC,CLASSWKR,UHRSWORK,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,DIFFHEAR,VETSTAT,DEPARTS,ARRIVES,GCHOUSE,WORK_STATUS,DIVINYR,WIDINYR
24,2,male,74,Married,1940,1960,white,0,1,High school,Works for wages,0,No,13200,18000,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
25,2,female,71,Married,1943,1964,Black,0,1,College or greater,Works for wages,0,No,16800,65300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
26,3,female,67,Married,1947,1965,white,0,1,High school,Works for wages,0,No,8700,40410,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
27,3,female,65,Divorced,1949,1965,Black,0,1,High school,Works for wages,0,No,8700,30100,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
28,2,male,77,Married,1937,1964,white,0,1,High school,Works for wages,35,Yes,36470,66470,19300,0,0,1,Veteran,PM,PM,0,Employed,0,0
29,2,female,76,Married,1938,1957,white,0,1,High school,Works for wages,0,No,24700,33600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
30,2,male,85,Married,1929,1949,white,0,1,High school,Works for wages,0,No,27300,36900,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
31,2,female,66,Married,1948,1965,white,0,1,College or greater,Works for wages,35,Yes,46000,91900,21000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
32,2,male,68,Never married,1946,0,white,0,1,College or greater,Self-employed,30,Yes,290000,290000,0,240000,0,0,Veteran,PM,PM,0,Employed,NA,NA
33,1,female,65,Divorced,1949,2000,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",5000,5000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
34,2,female,65,Married,1949,2003,white,0,1,College or greater,Works for wages,40,Yes,108000,148000,79000,29000,0,0,Not a veteran,PM,PM,0,Employed,0,0
35,1,female,82,Widowed,1932,1952,white,0,1,High school,Works for wages,0,No,30600,30600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
36,2,male,71,Married,1943,1964,white,0,1,High school,Self-employed,0,"No, but worked 1-5 yrs age",22000,29000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
37,2,female,65,Married,1949,1989,Asian,0,1,High school,Works for wages,0,No,2600,14600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
38,1,female,68,Widowed,1946,1987,Black,0,1,College or greater,Works for wages,0,No,20000,20000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
39,2,male,74,Never married,1940,0,white,0,1,High school,Works for wages,0,No,12300,12300,0,0,0,0,Veteran,NA,NA,0,Not in labor force,NA,NA
40,3,female,78,Married,1936,1955,white,0,1,High school,Self-employed,0,No,5000,75000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
41,2,female,66,Divorced,1948,2003,white,0,1,College or greater,Works for wages,6,Yes,8400,8400,1200,0,0,0,Not a veteran,NA,NA,1,Not in labor force,0,0
42,2,male,86,Married,1928,2010,white,0,1,College or greater,Works for wages,0,No,29380,63380,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
43,1,male,71,Never married,1943,0,white,0,1,College or greater,Works for wages,0,No,39510,39510,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,NA,NA
44,2,female,77,Married,1937,1958,white,0,1,High school,Self-employed,8,Yes,14400,36100,0,2500,0,0,Not a veteran,PM,PM,0,Employed,0,0
45,2,male,76,Married,1938,1961,white,0,1,High school,Works for wages,0,No,33200,64100,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
46,2,female,72,Divorced,1942,1985,white,1,1,College or greater,Self-employed,18,Yes,9300,9300,0,7000,0,0,Not a veteran,PM,PM,0,Employed,0,0
47,1,female,93,Widowed,1921,1959,white,0,1,High school,Works for wages,0,No,14730,14730,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
48,2,male,71,Married,1943,1993,white,0,1,College or greater,Works for wages,0,No,39200,53600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
49,1,female,65,Married,1949,1984,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",12000,12000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
50,1,male,89,Married,1925,1973,white,0,1,High school,Self-employed,0,No,3600,3600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
51,1,female,72,Divorced,1942,1972,white,0,1,High school,Works for wages,0,No,6840,6840,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
52,2,female,78,Married,1936,1983,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",14140,27140,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
53,2,female,71,Married,1943,1969,white,0,1,College or greater,Self-employed,0,No,16900,82200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
54,2,female,77,Married,1937,1955,white,0,1,Less than high school,Works for wages,0,No,13600,247000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
55,2,male,89,Married,1925,1951,white,0,1,High school,Works for wages,0,No,224400,231000,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
56,2,female,66,Never married,1948,0,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",29600,65700,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,NA,NA
57,1,female,74,Widowed,1940,1981,white,1,1,High school,Works for wages,0,No,17300,17300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
58,2,female,67,Married,1947,2009,Asian,1,1,High school,Self-employed,20,Yes,91900,100200,70000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
59,2,male,74,Married,1940,1960,white,0,1,High school,Self-employed,0,"No, but worked 1-5 yrs age",25600,32200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
60,2,male,78,Married,1936,1961,white,0,1,College or greater,Works for wages,0,No,68800,78400,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
61,2,male,72,Married,1942,1973,Asian,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",7200,13100,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
62,1,female,78,Divorced,1936,1968,Otherse,1,1,Less than high school,Works for wages,0,No,8400,8400,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
63,3,male,65,Married,1949,2004,white,0,1,College or greater,Works for wages,0,No,69000,74600,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
64,5,female,77,Widowed,1937,1955,white,0,1,High school,Works for wages,0,No,17100,49180,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
65,1,female,66,Widowed,1948,1969,white,0,1,High school,Works for wages,0,No,75600,75600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
66,2,female,69,Married,1945,1961,white,0,1,College or greater,Works for wages,0,No,12000,84200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
67,3,female,66,Widowed,1948,1976,white,1,1,High school,Works for wages,0,No,21500,41500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
68,1,female,72,Never married,1942,0,Otherse,0,1,Less than high school,Works for wages,0,No,8500,8500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,NA,NA
69,2,male,67,Married,1947,1972,white,0,1,College or greater,Works for wages,40,Yes,26000,51000,12000,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
70,2,male,83,Widowed,1931,1954,white,0,1,College or greater,Works for wages,0,No,17400,38200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
71,2,male,78,Married,1936,1958,white,0,1,College or greater,Works for wages,0,No,17100,24400,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
72,2,female,79,Married,1935,1953,white,0,1,College or greater,Works for wages,0,No,6500,23000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
73,2,male,84,Married,1930,1989,white,0,1,College or greater,Works for wages,0,No,31450,43150,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
74,2,male,74,Married,1940,1967,white,0,1,College or greater,Works for wages,0,No,124400,133200,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
75,2,male,69,Married,1945,1963,white,0,1,High school,Works for wages,0,No,24000,34300,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
76,1,female,66,Divorced,1948,1969,white,0,1,High school,Works for wages,0,No,37600,37600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
77,2,male,93,Married,1921,1992,white,0,1,High school,Works for wages,40,Yes,51500,55000,31000,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
78,3,male,77,Married,1937,1956,white,0,1,College or greater,Works for wages,0,No,22200,44400,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
79,2,female,66,Married,1948,1967,white,0,1,High school,Works for wages,0,No,1600,30000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
80,1,male,72,Divorced,1942,1987,white,0,1,High school,Works for wages,45,Yes,76700,76700,48500,0,0,0,Veteran,PM,PM,0,Employed,0,0
81,2,female,68,Married,1946,1968,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",55500,156500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
82,2,female,67,Married,1947,1975,white,1,1,Less than high school,Works for wages,0,"No, but worked 1-5 yrs age",8800,15800,0,0,0,0,Not a veteran,NA,NA,0,Unemployed,0,0
83,2,female,71,Widowed,1943,1971,Black,0,1,Less than high school,Works for wages,0,No,3600,9000,0,0,3600,1,Not a veteran,NA,NA,0,Not in labor force,0,0
84,2,female,73,Married,1941,1959,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",8300,31200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
85,2,female,87,Married,1927,1950,white,0,1,College or greater,Works for wages,0,No,12500,126900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
86,1,male,79,Widowed,1935,1997,white,0,1,High school,Works for wages,0,No,19100,19100,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
87,2,male,75,Married,1939,1964,white,1,1,Less than high school,Works for wages,0,No,9600,17600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
88,2,female,74,Widowed,1940,1964,white,0,1,High school,Works for wages,40,Yes,44700,66700,19200,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
89,1,female,67,Divorced,1947,1968,white,0,1,High school,Works for wages,0,No,7000,7000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
90,2,female,68,Married,1946,1984,white,0,1,College or greater,Self-employed,0,No,0,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
91,2,female,67,Married,1947,1980,white,0,1,College or greater,Works for wages,0,No,6600,113600,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
92,1,male,68,Divorced,1946,2007,white,0,1,College or greater,Works for wages,0,No,26510,26510,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
93,1,female,68,Never married,1946,0,white,0,1,College or greater,Self-employed,0,No,14800,14800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,NA,NA
94,3,female,68,Married,1946,1962,white,1,1,Less than high school,Works for wages,0,No,6000,49000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
95,2,female,85,Married,1929,1955,white,0,1,High school,Works for wages,0,No,8500,26500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
96,2,male,68,Married,1946,1968,white,0,1,College or greater,Works for wages,40,Yes,80000,109800,55000,0,0,0,Not a veteran,NA,NA,0,Employed,0,0
97,1,female,80,Widowed,1934,1981,white,0,1,High school,Works for wages,0,No,13900,13900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
98,2,female,67,Never married,1947,0,Black,0,1,College or greater,Works for wages,40,Yes,52700,52700,14800,0,0,0,Not a veteran,NA,NA,1,Not in labor force,NA,NA
99,2,male,67,Married,1947,2008,white,0,1,High school,Works for wages,0,No,9900,9900,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
100,2,female,65,Married,1949,1977,white,0,1,College or greater,Works for wages,0,No,8200,143200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
101,2,male,79,Married,1935,1956,white,0,1,College or greater,Works for wages,0,No,92400,104100,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
102,2,female,67,Married,1947,1966,white,0,1,College or greater,Works for wages,0,No,9700,106900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
103,2,male,88,Married,1926,1967,white,0,1,High school,Works for wages,0,No,48800,72400,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
104,1,female,85,Divorced,1929,1975,Black,0,1,High school,Self-employed,2,Yes,15600,15600,0,2900,0,0,Not a veteran,PM,PM,0,Employed,0,0
105,2,female,67,Married,1947,1964,Black,0,1,High school,Works for wages,0,No,5200,24400,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
106,2,male,85,Married,1929,1952,white,0,1,High school,Works for wages,0,No,17500,28700,0,0,0,1,Veteran,NA,NA,0,Not in labor force,0,0
107,2,female,67,Married,1947,1965,white,0,1,College or greater,Works for wages,0,No,29200,56500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
108,2,male,81,Married,1933,1954,white,0,1,College or greater,Works for wages,0,No,16000,24800,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
109,1,female,88,Widowed,1926,1943,white,0,1,High school,Works for wages,0,No,18000,9999999,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
110,2,female,71,Married,1943,2013,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",17700,46700,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
111,2,male,73,Married,1941,1961,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",45000,56500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
112,1,male,89,Never married,1925,0,white,0,1,Less than high school,Works for wages,0,No,8520,8520,0,0,0,0,Veteran,NA,NA,0,Not in labor force,NA,NA
113,3,female,74,Widowed,1940,1968,white,0,1,College or greater,Works for wages,0,No,19070,41070,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
114,2,male,66,Divorced,1948,1975,white,0,1,College or greater,Works for wages,40,Yes,40000,55000,40000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
115,1,female,94,Widowed,1920,1940,white,1,1,High school,Works for wages,0,No,16900,16900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
116,3,male,65,Married,1949,1973,Otherse,1,1,High school,Works for wages,0,No,30000,59600,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
117,2,female,70,Married,1944,1967,Otherse,0,1,College or greater,Works for wages,25,Yes,59300,74300,23000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
118,2,female,76,Married,1938,1954,white,0,1,College or greater,Self-employed,40,Yes,24200,47400,5500,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
119,4,male,66,Married,1948,1972,white,0,1,College or greater,Works for wages,40,Yes,92000,131000,92000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
120,2,female,70,Married,1944,2001,white,0,1,High school,Works for wages,0,No,25200,54500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
121,2,female,72,Married,1942,1963,white,0,1,College or greater,Works for wages,0,No,18000,42700,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
122,2,female,65,Married,1949,1979,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",0,69300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
123,1,male,86,Widowed,1928,1961,white,0,1,College or greater,Works for wages,0,No,113200,113200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,1
124,2,female,94,Widowed,1920,1973,white,0,1,High school,Works for wages,0,No,14700,25900,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
125,1,female,82,Widowed,1932,1965,white,0,1,High school,Works for wages,0,No,14300,14300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
126,2,male,79,Married,1935,1970,Asian,1,1,High school,Self-employed,0,"No, but worked 1-5 yrs age",1400,12000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
127,1,female,67,Divorced,1947,1991,white,0,1,High school,Works for wages,24,Yes,13900,13900,5000,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
128,1,female,84,Widowed,1930,1950,white,0,1,College or greater,Self-employed,0,No,102400,102400,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
129,2,male,69,Married,1945,1970,white,0,1,College or greater,Works for wages,0,No,13200,22800,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
130,2,male,71,Married,1943,2004,white,0,1,College or greater,Works for wages,0,No,17000,17000,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
131,1,female,83,Divorced,1931,1965,white,0,1,High school,Works for wages,0,No,10800,10800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
132,4,male,70,Married,1944,1996,Black,0,1,High school,Works for wages,0,No,44400,63000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
133,7,female,65,Married,1949,1981,Otherse,1,1,High school,Works for wages,0,No,12900,101500,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,0,0
134,3,female,66,Never married,1948,0,Otherse,1,1,High school,Works for wages,40,Yes,72000,98200,72000,0,0,0,Not a veteran,PM,PM,0,Employed,NA,NA
135,1,female,83,Widowed,1931,1977,white,1,1,Less than high school,Self-employed,0,No,10800,10800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
136,2,female,66,Married,1948,1969,white,0,1,College or greater,Works for wages,0,No,6500,133500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
137,1,female,71,Widowed,1943,1983,Otherse,1,1,Less than high school,Works for wages,0,No,6300,6300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
138,2,male,65,Married,1949,1974,white,0,1,College or greater,Works for wages,0,No,4000,-1300,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
139,1,female,81,Widowed,1933,1952,white,0,1,College or greater,Works for wages,0,No,11120,11120,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
140,3,male,68,Married,1946,2001,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",14300,21300,0,0,0,0,Veteran,NA,NA,1,Not in labor force,0,0
141,1,female,82,Divorced,1932,1973,white,0,1,High school,Self-employed,0,No,9900,9900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
142,3,male,66,Married,1948,1973,white,0,1,College or greater,Self-employed,10,Yes,21700,29900,0,20000,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
143,2,female,65,Married,1949,1968,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",8200,94710,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
144,3,male,66,Married,1948,1976,Asian,0,1,College or greater,Works for wages,24,Yes,61000,93200,60000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
145,8,female,66,Divorced,1948,1968,Asian,0,1,Less than high school,Works for wages,0,No,0,200000,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,0,0
146,3,male,80,Married,1934,1961,Black,0,1,Less than high school,Self-employed,0,"No, but worked 1-5 yrs age",46000,100400,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
147,1,female,66,Widowed,1948,1988,Asian,0,1,High school,Self-employed,20,Yes,6000,6000,0,6000,0,0,Not a veteran,PM,PM,0,Employed,0,0
148,2,female,76,Divorced,1938,1955,Black,0,1,College or greater,Works for wages,0,No,23700,43600,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
149,1,female,69,Widowed,1945,1962,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",7500,7500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
150,2,female,69,Married,1945,1965,Black,0,1,College or greater,Works for wages,0,No,24700,71800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
151,2,female,77,Married,1937,1959,white,0,1,College or greater,Works for wages,0,No,13000,32000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
152,3,female,73,Married,1941,1959,Black,0,1,High school,Works for wages,0,No,16200,120800,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
153,2,female,67,Married,1947,1970,white,0,1,College or greater,Works for wages,30,Yes,102300,132300,36000,0,0,0,Not a veteran,NA,NA,0,Employed,0,0
154,1,male,75,Divorced,1939,1969,white,0,1,High school,Works for wages,0,No,8800,8800,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
155,1,male,71,Never married,1943,0,Asian,0,1,Less than high school,Self-employed,0,No,8800,8800,0,0,0,1,Veteran,NA,NA,0,Not in labor force,NA,NA
156,1,female,72,Divorced,1942,1962,white,0,1,High school,Works for wages,0,No,20900,20900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
157,2,male,65,Married,1949,2007,white,1,1,College or greater,Self-employed,42,Yes,341000,354200,0,329000,0,0,Not a veteran,PM,PM,0,Employed,0,0
158,1,female,90,Widowed,1924,1943,white,0,1,High school,Works for wages,0,No,13600,13600,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
159,2,female,66,Married,1948,2008,white,0,1,College or greater,Works for wages,0,No,37000,100000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
160,1,female,94,Widowed,1920,1947,Asian,0,1,College or greater,Works for wages,0,No,30000,30000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
161,1,male,70,Widowed,1944,1968,white,0,1,College or greater,Works for wages,0,No,15800,15800,0,0,0,0,Veteran,NA,NA,0,Not in labor force,0,0
162,2,female,69,Married,1945,1972,white,0,1,College or greater,Works for wages,12,Yes,56200,103700,7200,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
163,4,female,69,Divorced,1945,1978,white,0,1,College or greater,Self-employed,0,No,54900,135900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
164,1,male,94,Widowed,1920,1985,white,0,1,College or greater,Works for wages,0,No,178000,178000,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,0,0
165,1,female,82,Widowed,1932,1952,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",28200,28200,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
166,3,female,76,Married,1938,1955,white,0,1,College or greater,Works for wages,0,No,29000,60900,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
167,4,female,67,Married,1947,1981,Otherse,1,1,Less than high school,Works for wages,63,Yes,32400,92400,24000,0,0,0,Not a veteran,PM,PM,0,Employed,0,0
168,2,female,72,Married,1942,1964,white,0,1,College or greater,Works for wages,0,No,11000,115000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
169,2,male,71,Married,1943,1997,white,0,1,College or greater,Self-employed,30,Yes,25000,60200,10000,0,0,0,Not a veteran,NA,NA,0,Employed,0,0
170,1,female,82,Widowed,1932,1948,white,1,1,High school,Works for wages,0,No,14580,14580,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,0,0
