FAMSIZE,SEX,AGE,MARST,BIRTHYR,YRMARR,RACE,HISPAN,HCOVANY,EDUC,CLASSWKR,UHRSWORK,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,DEPARTS,ARRIVES,GCHOUSE,WORK_STATUS,id
1,female,69,Divorced,1945,1964,Black,0,1,High school,Works for wages,0,No,25900,25900,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,37
1,female,80,Divorced,1934,1975,Black,0,1,College or greater,Works for wages,0,No,119600,119600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,38
1,male,69,Divorced,1945,1975,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",76000,76000,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,39
2,male,73,Married,1941,1957,Asian,0,1,Less than high school,Self-employed,0,No,8400,16800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,40
2,female,66,Married,1948,1975,white,0,1,College or greater,Works for wages,32,Yes,36000,147500,36000,0,0,0,0,Not a veteran,NA,NA,0,Employed,41
2,female,76,Married,1938,1963,white,0,1,College or greater,Works for wages,0,No,15800,125600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,42
2,male,76,Married,1938,1959,white,0,1,College or greater,Self-employed,0,"No, but worked 1-5 yrs age",358800,366100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,43
2,female,67,Divorced,1947,1986,white,0,1,College or greater,Works for wages,40,Yes,61000,83800,49000,0,0,0,0,Not a veteran,PM,PM,0,Employed,44
4,female,77,Widowed,1937,1983,Black,0,1,High school,Works for wages,0,No,34600,53600,0,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,45
2,female,74,Married,1940,1966,Asian,0,1,College or greater,Works for wages,0,No,7700,50000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,46
4,male,69,Married,1945,1975,white,1,0,High school,Works for wages,40,Yes,11200,45800,11200,0,0,0,0,Not a veteran,PM,PM,1,Employed,47
3,male,65,Married,1949,1996,white,1,1,Less than high school,Works for wages,0,"No, but worked 1-5 yrs age",7800,17400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,48
2,female,69,Married,1945,1990,white,0,1,College or greater,Self-employed,6,Yes,51800,88200,5200,1200,0,0,0,Not a veteran,PM,PM,0,Employed,49
1,female,73,Never married,1941,0,white,0,1,College or greater,Works for wages,0,No,28150,28150,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,50
1,female,76,Widowed,1938,1983,white,0,1,High school,Works for wages,0,No,7800,7800,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,51
3,female,74,Married,1940,1995,Black,0,1,High school,Works for wages,0,No,20600,83750,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,52
2,male,77,Married,1937,1957,white,0,1,College or greater,Self-employed,0,No,16300,23500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,53
2,female,67,Married,1947,1968,white,0,1,College or greater,Works for wages,0,No,0,113000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,54
4,female,79,Married,1935,1986,white,0,1,College or greater,Works for wages,0,No,29900,72300,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,55
2,male,79,Married,1935,1956,white,0,1,College or greater,Works for wages,0,No,38400,49600,0,0,0,1,1,Not a veteran,NA,NA,0,Not in labor force,56
2,female,74,Married,1940,1973,Asian,0,1,College or greater,Works for wages,0,No,4100,19100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,57
2,male,69,Married,1945,1969,white,0,1,College or greater,Works for wages,40,Yes,585000,625000,455000,0,0,1,0,Veteran,PM,PM,0,Employed,58
3,female,75,Widowed,1939,1963,white,0,1,High school,Works for wages,0,No,9600,67400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,59
2,female,77,Married,1937,1957,white,0,1,High school,Works for wages,0,No,6600,24100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,60
2,male,66,Married,1948,1968,white,0,1,College or greater,Works for wages,48,Yes,70000,118000,44000,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,61
2,female,89,Divorced,1925,1969,white,0,1,High school,Works for wages,0,No,19400,35400,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,62
2,male,73,Married,1941,1960,white,0,1,College or greater,Self-employed,24,Yes,425900,440200,0,329000,0,0,0,Not a veteran,PM,PM,0,Employed,63
4,male,76,Married,1938,1961,Asian,0,1,Less than high school,Works for wages,40,Yes,70000,94000,50000,0,0,0,0,Not a veteran,PM,PM,0,Employed,64
3,female,94,Widowed,1920,1956,white,0,1,High school,Self-employed,0,No,32400,68000,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,65
1,male,82,Married,1932,1952,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",36600,36600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,66
2,male,65,Married,1949,1993,white,0,1,College or greater,Works for wages,60,Yes,120000,220000,120000,0,0,0,0,Not a veteran,PM,PM,0,Employed,67
2,female,65,Married,1949,1991,white,0,1,College or greater,Works for wages,12,Yes,6400,76400,500,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,68
2,female,89,Widowed,1925,1947,white,0,1,College or greater,Works for wages,0,No,12000,60000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,69
2,male,66,Married,1948,1986,white,0,1,High school,Works for wages,0,No,42100,112100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,70
1,female,70,Widowed,1944,1986,Asian,0,1,College or greater,Works for wages,0,No,14000,14000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,71
2,female,75,Married,1939,1971,white,0,1,High school,Works for wages,0,No,14400,102200,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,72
2,male,83,Married,1931,1952,white,0,1,High school,Works for wages,0,No,18300,36400,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,73
2,male,65,Married,1949,1987,white,0,1,College or greater,Works for wages,40,Yes,81000,94800,65000,12000,0,0,0,Not a veteran,PM,PM,0,Employed,74
2,male,74,Widowed,1940,1990,white,0,1,College or greater,Works for wages,0,No,90000,53700,0,0,0,1,0,Not a veteran,NA,NA,0,Not in labor force,75
2,female,67,Married,1947,1974,Otherse,0,1,College or greater,Works for wages,0,No,19900,31200,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,76
1,female,80,Widowed,1934,1959,Black,0,1,High school,Works for wages,0,No,27000,27000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,77
2,female,71,Married,1943,1981,white,0,1,High school,Works for wages,0,No,34100,77500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,78
7,female,69,Married,1945,1961,white,1,1,Less than high school,Works for wages,0,No,4000,86800,0,0,0,0,0,Not a veteran,NA,NA,1,Not in labor force,79
1,male,69,Divorced,1945,1986,white,0,1,High school,Works for wages,0,No,12000,9999999,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,80
2,male,94,Widowed,1920,1941,white,0,1,High school,Self-employed,0,No,38570,38570,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,81
9,male,65,Married,1949,1970,white,1,1,High school,Works for wages,0,No,0,240800,0,0,0,0,0,Not a veteran,NA,NA,1,Unemployed,82
1,female,67,Divorced,1947,1982,Otherse,1,1,Less than high school,Works for wages,0,No,15500,15500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,83
1,female,93,Widowed,1921,1938,white,0,1,High school,Works for wages,0,No,21700,21700,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,84
1,male,74,Widowed,1940,1965,white,0,1,College or greater,Works for wages,0,No,84600,84600,0,0,0,6,1,Veteran,NA,NA,0,Not in labor force,85
2,male,67,Divorced,1947,1977,white,0,1,College or greater,Works for wages,0,No,8900,8900,0,0,100,1,0,Veteran,NA,NA,0,Not in labor force,86
2,male,70,Married,1944,1996,white,0,1,College or greater,Works for wages,0,No,56300,108500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,87
3,female,86,Widowed,1928,1954,white,0,1,High school,Works for wages,0,No,39600,136800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,88
2,female,65,Married,1949,1971,white,0,1,College or greater,Works for wages,4,Yes,66500,85200,1500,0,0,0,0,Not a veteran,PM,PM,0,Employed,89
2,male,70,Married,1944,1965,white,0,1,High school,Self-employed,40,Yes,48500,64600,0,26000,0,0,1,Not a veteran,PM,PM,0,Employed,90
2,female,79,Married,1935,1959,white,0,1,College or greater,Works for wages,0,No,15000,87800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,91
1,female,78,Never married,1936,0,white,1,1,Less than high school,Works for wages,0,No,8600,8600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,92
1,female,86,Widowed,1928,1966,white,0,1,High school,Works for wages,0,No,13300,9999999,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,93
1,female,71,Never married,1943,0,white,0,1,College or greater,Works for wages,0,No,14100,14100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,94
2,male,69,Married,1945,1997,white,0,1,College or greater,Works for wages,0,No,54700,82500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,95
1,male,87,Married,1927,1965,Otherse,0,1,High school,Works for wages,0,No,16300,16300,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,96
4,male,72,Married,1942,1985,white,0,1,College or greater,Works for wages,0,No,40000,221000,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,97
2,male,68,Never married,1946,0,white,0,1,College or greater,Self-employed,40,Yes,134500,134500,62000,6000,0,0,0,Not a veteran,NA,NA,0,Employed,98
2,female,94,Widowed,1920,1949,white,1,1,High school,Self-employed,0,No,12100,183700,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,99
2,female,66,Divorced,1948,1985,white,0,1,College or greater,Works for wages,0,No,6900,29400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,100
2,female,66,Married,1948,1968,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",14900,113300,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,101
1,male,87,Widowed,1927,1958,white,0,1,High school,Works for wages,0,No,15800,15800,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,102
2,male,69,Married,1945,1969,white,0,1,High school,Self-employed,40,Yes,91000,104000,12000,8000,0,1,0,Not a veteran,PM,PM,0,Employed,103
1,male,75,Never married,1939,0,white,0,1,Less than high school,Works for wages,0,No,8600,8600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,104
1,male,66,Widowed,1948,1988,white,1,1,College or greater,Works for wages,44,Yes,133100,133100,130000,0,0,0,0,Not a veteran,PM,PM,0,Employed,105
2,female,69,Divorced,1945,1967,white,0,1,College or greater,Self-employed,8,Yes,500000,527000,170000,256000,0,0,0,Not a veteran,PM,PM,0,Employed,106
5,female,76,Married,1938,1955,white,0,1,College or greater,Works for wages,0,No,7200,90400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,107
2,female,67,Married,1947,1984,white,0,1,College or greater,Works for wages,40,Yes,17600,37600,5300,0,0,0,0,Not a veteran,PM,PM,0,Employed,108
2,male,75,Married,1939,1960,white,0,1,High school,Works for wages,0,No,47500,85400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,109
1,female,72,Never married,1942,0,white,0,1,College or greater,Works for wages,40,Yes,43000,9999999,43000,0,0,0,0,Not a veteran,PM,PM,0,Employed,110
2,male,76,Widowed,1938,1957,white,0,1,Less than high school,Works for wages,0,No,38600,33100,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,111
2,male,83,Married,1931,1952,white,0,1,High school,Works for wages,0,No,12000,38100,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,112
2,male,67,Married,1947,1999,white,0,1,College or greater,Works for wages,45,Yes,73000,124000,44000,0,0,0,0,Not a veteran,PM,PM,0,Employed,113
1,male,82,Widowed,1932,1956,white,0,1,High school,Works for wages,0,No,20400,20400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,114
2,male,87,Married,1927,1953,white,0,1,Less than high school,Works for wages,0,No,14400,15400,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,115
2,female,78,Married,1936,1958,white,0,1,College or greater,Self-employed,0,"No, but worked 1-5 yrs age",30000,30000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,116
2,female,79,Married,1935,1953,white,0,1,High school,Works for wages,0,No,18200,372400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,117
3,female,73,Married,1941,1960,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",9000,47200,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,118
2,male,78,Married,1936,1968,white,0,1,College or greater,Works for wages,0,No,59100,166300,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,119
2,female,81,Married,1933,1953,white,0,1,College or greater,Self-employed,0,No,0,194700,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,120
1,female,71,Divorced,1943,2003,white,0,1,College or greater,Works for wages,30,Yes,58000,58000,15000,0,0,0,0,Not a veteran,NA,NA,0,Employed,121
2,male,68,Married,1946,1979,white,0,1,College or greater,Self-employed,50,Yes,200000,272000,120000,0,0,0,0,Not a veteran,PM,PM,0,Employed,122
1,female,90,Widowed,1924,1946,white,0,1,College or greater,Works for wages,0,No,105400,105400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,123
2,male,67,Married,1947,1992,white,0,1,College or greater,Works for wages,70,Yes,130000,130000,130000,0,0,0,0,Not a veteran,NA,NA,0,Employed,124
2,female,68,Married,1946,1964,white,1,1,High school,Works for wages,0,No,63950,95450,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,125
1,female,76,Divorced,1938,1966,Black,0,1,High school,Works for wages,0,No,28800,28800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,126
1,female,71,Widowed,1943,1995,white,0,1,High school,Works for wages,0,No,54000,54000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,127
1,female,80,Married,1934,1961,white,0,1,High school,Works for wages,0,No,0,9999999,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,128
1,male,83,Widowed,1931,2007,white,0,1,High school,Works for wages,0,No,12000,12000,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,129
1,male,65,Divorced,1949,1983,white,0,1,College or greater,Works for wages,30,Yes,31030,31030,14000,0,0,0,0,Not a veteran,PM,PM,0,Employed,130
2,female,65,Married,1949,1994,white,0,1,College or greater,Works for wages,0,No,16300,47600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,131
1,female,70,Married,1944,2005,white,0,1,College or greater,Works for wages,0,No,23400,23400,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,132
2,female,67,Married,1947,1984,white,0,1,High school,Works for wages,0,No,8200,50200,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,133
2,female,70,Married,1944,1961,white,0,1,High school,Works for wages,0,No,7700,87600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,134
1,male,65,Divorced,1949,1998,Asian,0,1,High school,Self-employed,80,Yes,30000,30000,0,30000,0,0,0,Not a veteran,PM,PM,0,Employed,135
1,male,86,Divorced,1928,1982,white,0,1,High school,Works for wages,0,No,39540,39540,0,0,0,3,1,Veteran,NA,NA,0,Not in labor force,136
2,female,67,Married,1947,1967,white,0,1,College or greater,Works for wages,0,No,53000,106000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,137
1,male,81,Divorced,1933,1977,white,0,1,Less than high school,Works for wages,0,No,34700,34700,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,138
2,female,88,Widowed,1926,1944,white,0,1,High school,Works for wages,0,No,17930,42930,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,139
2,male,79,Married,1935,2010,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",31200,54200,0,0,0,3,0,Veteran,NA,NA,0,Not in labor force,140
4,female,83,Married,1931,1950,Asian,0,1,High school,Works for wages,0,No,0,119000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,141
2,male,75,Married,1939,1972,Otherse,1,1,Less than high school,Works for wages,0,No,2800,10900,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,142
2,male,82,Married,1932,1950,white,0,1,High school,Works for wages,0,No,25400,25400,0,0,0,1,1,Veteran,NA,NA,0,Not in labor force,143
1,male,72,Widowed,1942,1967,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",134640,134640,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,144
2,female,65,Married,1949,2010,white,0,1,High school,Self-employed,0,"No, but worked 1-5 yrs age",10000,30000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,145
1,female,75,Widowed,1939,1956,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",22000,22000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,146
1,female,66,Divorced,1948,1972,Black,0,1,High school,Works for wages,0,No,20410,20410,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,147
2,male,76,Married,1938,1962,white,0,1,College or greater,Works for wages,0,No,13000,24400,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,148
1,female,70,Widowed,1944,1986,Asian,0,1,High school,Self-employed,0,No,46200,46200,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,149
1,male,67,Divorced,1947,1988,white,0,1,High school,Self-employed,70,Yes,42000,42000,0,30000,0,1,0,Veteran,PM,PM,0,Employed,150
2,female,74,Divorced,1940,1983,white,0,1,High school,Works for wages,0,No,10800,10800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,151
2,female,71,Married,1943,2001,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",12400,62400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,152
2,female,70,Married,1944,1970,Black,0,1,College or greater,Works for wages,0,No,14400,30000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,153
1,female,69,Divorced,1945,1982,Black,0,1,Less than high school,Self-employed,0,No,21500,21500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,154
2,female,92,Widowed,1922,1988,white,0,1,High school,Works for wages,0,No,29800,44400,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,155
4,female,75,Divorced,1939,1975,Black,0,1,Less than high school,Works for wages,0,No,0,65500,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,156
1,female,92,Widowed,1922,1960,white,0,1,College or greater,Self-employed,0,No,8600,9999999,0,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,157
2,male,68,Divorced,1946,1969,white,0,1,College or greater,Works for wages,0,No,1,15800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,158
2,female,68,Never married,1946,0,Otherse,1,1,High school,Works for wages,0,No,18700,26800,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,159
3,male,73,Widowed,1941,1986,Asian,0,0,Less than high school,Works for wages,0,"No, but worked 1-5 yrs age",20200,58600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,160
2,male,65,Married,1949,1971,Asian,0,1,College or greater,Works for wages,55,Yes,168000,500000,168000,0,0,1,0,Not a veteran,PM,PM,0,Employed,161
1,female,82,Widowed,1932,1962,Asian,0,1,College or greater,Works for wages,0,No,46000,46000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,162
2,female,88,Widowed,1926,1962,Asian,0,1,High school,Works for wages,0,No,37500,72000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,163
2,male,65,Married,1949,1981,white,0,1,College or greater,Works for wages,0,"No, but worked 1-5 yrs age",45300,76200,0,0,0,1,0,Veteran,NA,NA,0,Not in labor force,164
2,male,66,Married,1948,1979,white,0,1,College or greater,Self-employed,40,Yes,25000,27400,0,25000,0,0,0,Not a veteran,PM,PM,0,Employed,165
2,male,83,Married,1931,1961,white,0,1,High school,Works for wages,0,"No, but worked 1-5 yrs age",20810,37760,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,166
1,female,82,Widowed,1932,1957,white,0,1,Less than high school,Works for wages,0,No,16700,9999999,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,167
2,female,94,Widowed,1920,1989,Black,0,1,College or greater,Works for wages,0,No,37200,55900,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,168
1,female,83,Divorced,1931,1948,white,0,1,High school,Self-employed,0,No,19600,19600,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,169
2,male,72,Married,1942,1962,white,0,1,High school,Works for wages,16,Yes,25000,45200,8100,0,0,0,0,Not a veteran,PM,PM,0,Employed,170
2,female,81,Married,1933,1955,white,0,1,College or greater,Works for wages,8,Yes,223500,459500,196000,0,0,0,1,Not a veteran,NA,NA,0,Not in labor force,171
1,female,94,Widowed,1920,1965,white,0,1,Less than high school,Works for wages,0,No,11800,9999999,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,172
3,male,76,Married,1938,1975,Black,0,1,High school,Works for wages,0,No,25000,69600,0,0,0,1,1,Veteran,NA,NA,1,Not in labor force,173
2,female,79,Married,1935,1956,white,0,1,College or greater,Works for wages,0,No,12000,41000,0,0,0,0,0,Not a veteran,NA,NA,0,Not in labor force,174
2,male,79,Married,1935,1991,white,0,1,College or greater,Self-employed,75,Yes,257000,288300,25000,0,0,0,0,Not a veteran,NA,NA,0,Employed,175
