"","id","FAMSIZE","SEX","AGE","MARST","BIRTHYR","YRMARR","RACE","HISPAN","HCOVANY","EDUC","UHRSWORK","WORKEDYR","INCTOT","FTOTINC","INCWAGE","INCBUS00","INCWELFR","VETSTAT","DEPARTS","ARRIVES","GCHOUSE","WORK_STATUS"
"23",23,1,"female",68,"Widowed",1946,1990,"Black",0,1,"High school",0,"No",9600,9600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"24",24,3,"female",85,"Divorced",1929,1953,"Black",0,1,"Less than high school",0,"No",13200,26600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"25",25,1,"male",66,"Divorced",1948,2001,"Otherse",0,1,"Less than high school",84,"Yes",24200,24200,7500,0,1800,"Not a veteran",NA,NA,0,"Not in labor force"
"26",26,2,"female",78,"Married",1936,1957,"white",0,1,"College or greater",0,"No",6200,29600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"27",27,2,"female",65,"Widowed",1949,1964,"white",0,1,"High school",0,"No",19400,33600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"28",28,3,"female",69,"Married",1945,1966,"white",0,1,"College or greater",35,"Yes",58600,79800,45000,0,0,"Not a veteran",NA,NA,0,"Employed"
"29",29,1,"female",80,"Widowed",1934,1955,"white",0,1,"High school",0,"No",25300,25300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"30",30,2,"male",67,"Married",1947,1996,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",32400,148400,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"31",31,2,"female",69,"Married",1945,1963,"white",0,1,"High school",0,"No",0,43000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"32",32,1,"female",65,"Never married",1949,0,"Otherse",0,1,"High school",0,"No, but worked 1-5 yrs age",12000,12000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"33",33,2,"male",66,"Married",1948,1977,"white",0,1,"College or greater",40,"Yes",77400,91400,75000,0,0,"Not a veteran","PM","PM",0,"Employed"
"34",34,1,"female",70,"Widowed",1944,1990,"white",0,1,"College or greater",0,"No",32900,32900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"35",35,2,"male",68,"Married",1946,1987,"white",0,1,"College or greater",25,"Yes",72400,75500,10000,10000,0,"Veteran","PM","PM",0,"Employed"
"36",36,1,"female",85,"Widowed",1929,1947,"white",0,1,"High school",0,"No",19400,19400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"37",37,2,"male",84,"Married",1930,1953,"white",0,1,"College or greater",0,"No",29900,37800,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"38",38,1,"female",81,"Widowed",1933,1951,"white",0,1,"College or greater",0,"No",77000,77000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"39",39,1,"female",71,"Widowed",1943,1962,"white",0,1,"High school",0,"No",331000,331000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"40",40,2,"male",70,"Divorced",1944,1964,"white",0,1,"College or greater",0,"No",13100,13700,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"41",42,1,"female",79,"Widowed",1935,1962,"white",0,1,"College or greater",0,"No",58100,58100,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"42",43,2,"female",71,"Divorced",1943,1989,"white",0,1,"High school",0,"No",8300,29400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"43",44,1,"female",65,"Divorced",1949,1969,"white",0,1,"High school",40,"Yes",83900,83900,63000,0,0,"Not a veteran","PM","PM",0,"Employed"
"44",45,2,"male",68,"Married",1946,2003,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",99000,114000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"45",46,9,"male",67,"Married",1947,1999,"white",1,1,"High school",22,"Yes",17300,50610,2900,0,0,"Not a veteran","PM","PM",1,"Employed"
"46",47,2,"female",78,"Married",1936,1978,"white",0,1,"High school",0,"No",11200,29800,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"47",48,4,"female",66,"Married",1948,1971,"white",1,1,"High school",0,"No",18000,75510,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"48",49,2,"male",72,"Married",1942,1963,"Otherse",1,1,"College or greater",16,"Yes",37400,47500,14400,0,0,"Veteran","PM","PM",0,"Employed"
"49",50,1,"female",71,"Divorced",1943,1970,"Asian",0,1,"High school",40,"Yes",40000,40000,20200,0,0,"Not a veteran","PM","PM",0,"Employed"
"50",51,2,"female",93,"Widowed",1921,1945,"white",0,1,"High school",0,"No",35000,39300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"51",52,2,"female",72,"Married",1942,1961,"white",0,1,"High school",0,"No",74800,197600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"52",53,2,"female",80,"Married",1934,1953,"white",0,1,"High school",0,"No, but worked 1-5 yrs age",5400,11400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"53",54,2,"male",83,"Married",1931,1953,"white",0,1,"College or greater",0,"No",31700,55900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"54",55,2,"male",72,"Married",1942,1963,"white",0,1,"College or greater",20,"Yes",59000,75000,2000,30000,0,"Not a veteran","PM","PM",0,"Employed"
"55",56,1,"male",76,"Widowed",1938,1969,"white",0,1,"High school",0,"No",34400,34400,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"56",57,2,"male",78,"Married",1936,1958,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",21500,39500,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"57",58,1,"female",71,"Widowed",1943,1964,"white",0,1,"High school",8,"Yes",21300,21300,4600,0,0,"Not a veteran","PM","PM",0,"Employed"
"58",59,2,"female",71,"Married",1943,1963,"white",0,1,"College or greater",20,"Yes",10800,50600,4800,0,0,"Not a veteran","PM","PM",0,"Employed"
"59",60,1,"female",78,"Widowed",1936,1975,"white",0,1,"High school",0,"No",18300,18300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"60",61,2,"male",73,"Married",1941,1964,"white",0,1,"High school",0,"No",41920,51640,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"61",62,2,"male",72,"Married",1942,1978,"white",0,1,"College or greater",0,"No",119000,247000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"62",63,1,"female",73,"Divorced",1941,1976,"white",0,1,"High school",0,"No",12000,12000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"63",64,1,"female",75,"Widowed",1939,1955,"white",0,1,"High school",0,"No",16400,16400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"64",65,2,"male",87,"Married",1927,2000,"Otherse",0,1,"Less than high school",0,"No",11010,17010,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"65",66,2,"male",73,"Married",1941,1962,"Black",0,1,"College or greater",0,"No, but worked 1-5 yrs age",36600,52400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"66",67,2,"female",68,"Married",1946,1966,"white",0,1,"College or greater",22,"Yes",22500,50800,10000,0,0,"Not a veteran","PM","PM",0,"Employed"
"67",68,2,"female",70,"Married",1944,1967,"white",0,1,"College or greater",28,"Yes",14800,70800,3300,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"68",69,1,"female",94,"Widowed",1920,1939,"Asian",0,1,"Less than high school",0,"No",39900,39900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"69",70,2,"female",76,"Married",1938,1959,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",12100,123600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"70",71,1,"female",70,"Widowed",1944,1995,"Otherse",0,1,"High school",0,"No, but worked 1-5 yrs age",18900,18900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"71",72,2,"male",65,"Divorced",1949,1990,"white",0,1,"High school",0,"No",26400,26400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"72",73,3,"male",66,"Married",1948,1980,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",48000,150600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"73",74,2,"male",67,"Married",1947,2011,"white",0,1,"College or greater",40,"Yes",575000,576000,455000,0,0,"Not a veteran","PM","PM",0,"Employed"
"74",75,8,"male",69,"Married",1945,1972,"Asian",0,1,"High school",0,"No, but worked 1-5 yrs age",18000,143000,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"75",76,2,"female",67,"Married",1947,1975,"white",0,1,"College or greater",1,"Yes",25300,84300,0,300,0,"Not a veteran",NA,NA,0,"Not in labor force"
"76",77,1,"female",69,"Divorced",1945,1972,"white",0,1,"College or greater",0,"No",10400,10400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"77",78,2,"male",65,"Married",1949,1989,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",55800,62200,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"78",79,2,"female",76,"Married",1938,1957,"white",0,1,"College or greater",0,"No",6800,15800,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"79",80,2,"female",94,"Widowed",1920,1941,"white",0,1,"High school",0,"No",12100,35900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"80",81,2,"female",75,"Married",1939,1957,"white",0,1,"High school",0,"No",12000,70700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"81",82,2,"male",70,"Married",1944,1978,"white",0,1,"College or greater",0,"No",72400,162600,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"82",83,2,"female",71,"Married",1943,1977,"Asian",0,1,"High school",0,"No",8800,17600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"83",84,2,"male",71,"Married",1943,1978,"white",0,1,"College or greater",40,"Yes",218000,377000,150000,0,0,"Veteran","PM","PM",0,"Employed"
"84",85,4,"female",65,"Married",1949,1969,"Asian",0,1,"High school",0,"No",24600,104600,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"85",86,1,"male",70,"Divorced",1944,1969,"white",0,1,"College or greater",21,"Yes",34000,34000,12000,0,0,"Not a veteran",NA,NA,0,"Employed"
"86",87,6,"male",71,"Married",1943,2003,"Asian",0,1,"College or greater",0,"No",6700,503700,0,0,0,"Veteran",NA,NA,1,"Not in labor force"
"87",88,2,"male",68,"Married",1946,1970,"white",0,1,"College or greater",0,"No",14000,20000,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"88",89,2,"female",66,"Married",1948,1983,"white",0,1,"College or greater",0,"No",11800,102800,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"89",90,2,"male",67,"Married",1947,1972,"white",0,1,"College or greater",40,"Yes",86500,139500,31000,0,0,"Veteran","PM","PM",0,"Employed"
"90",91,5,"male",72,"Married",1942,2002,"white",0,1,"College or greater",50,"Yes",46000,97700,10000,10000,0,"Not a veteran",NA,NA,1,"Employed"
"91",92,3,"female",68,"Married",1946,1965,"white",0,1,"High school",0,"No",9800,127700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"92",93,5,"female",73,"Married",1941,1963,"Asian",0,1,"College or greater",0,"No",12100,33700,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"93",94,7,"female",72,"Married",1942,1964,"Asian",0,1,"High school",0,"No, but worked 1-5 yrs age",16800,78800,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"94",95,2,"male",66,"Married",1948,1983,"white",1,1,"College or greater",0,"No",51800,70200,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"95",96,2,"male",72,"Married",1942,1963,"Otherse",0,1,"High school",50,"Yes",89000,145700,0,50000,0,"Not a veteran",NA,NA,0,"Employed"
"96",97,1,"male",65,"Never married",1949,0,"white",0,1,"College or greater",40,"Yes",45600,45600,42000,0,0,"Not a veteran","PM","PM",0,"Employed"
"97",98,2,"female",67,"Married",1947,1978,"white",0,1,"College or greater",40,"Yes",122200,182600,110000,0,0,"Not a veteran","PM","PM",0,"Employed"
"98",99,1,"female",72,"Widowed",1942,1981,"white",0,1,"College or greater",0,"No",6500,6500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"99",100,2,"female",72,"Married",1942,1972,"white",0,1,"College or greater",0,"No",22200,163200,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"100",101,2,"male",73,"Married",1941,1984,"white",0,1,"High school",40,"Yes",32000,117600,26000,0,0,"Not a veteran","PM","PM",0,"Employed"
"101",102,1,"male",66,"Widowed",1948,1988,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",13900,13900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"102",103,4,"female",69,"Widowed",1945,1987,"white",0,1,"College or greater",0,"No",6000,158000,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"103",104,2,"female",65,"Divorced",1949,1970,"white",0,1,"High school",0,"No, but worked 1-5 yrs age",14000,14000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"104",105,2,"male",67,"Married",1947,1987,"white",0,1,"College or greater",45,"Yes",110000,145000,80000,0,0,"Veteran","PM","PM",0,"Employed"
"105",106,1,"female",87,"Widowed",1927,1950,"white",0,1,"High school",0,"No",87000,87000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"106",107,1,"female",81,"Widowed",1933,1958,"white",0,1,"High school",0,"No",27400,27400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"107",108,5,"male",78,"Married",1936,1999,"Black",0,1,"College or greater",0,"No, but worked 1-5 yrs age",14400,59400,0,0,0,"Veteran",NA,NA,1,"Not in labor force"
"108",109,2,"female",76,"Widowed",1938,1963,"white",0,1,"High school",0,"No",12500,72500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"109",110,2,"female",83,"Married",1931,1951,"white",1,1,"High school",0,"No",0,213400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"110",111,4,"female",71,"Married",1943,1961,"white",1,1,"Less than high school",0,"No",8000,47000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"111",112,1,"female",69,"Widowed",1945,1987,"Asian",0,1,"Less than high school",0,"No",6000,6000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"112",113,2,"female",94,"Widowed",1920,1936,"white",0,1,"High school",0,"No",18100,31510,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"113",114,2,"male",71,"Married",1943,1965,"white",0,1,"College or greater",0,"No",5800,103800,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"114",115,2,"female",78,"Married",1936,1961,"white",0,1,"High school",0,"No",17000,46000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"115",116,2,"female",78,"Married",1936,1955,"white",0,1,"High school",0,"No",10000,31304,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"116",117,3,"male",65,"Married",1949,1982,"white",0,1,"College or greater",20,"Yes",26640,90240,0,13000,0,"Not a veteran","PM","PM",0,"Employed"
"117",119,2,"male",84,"Married",1930,1954,"white",0,1,"College or greater",40,"Yes",59400,83000,40000,0,0,"Not a veteran","PM","PM",0,"Employed"
"118",120,1,"male",83,"Widowed",1931,1960,"white",0,1,"College or greater",0,"No",57900,57900,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"119",121,2,"female",74,"Married",1940,1964,"white",1,1,"College or greater",0,"No",14600,102400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"120",122,1,"female",81,"Divorced",1933,1960,"Asian",0,1,"College or greater",0,"No",1890,1890,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"121",123,3,"female",81,"Married",1933,1958,"Asian",0,1,"College or greater",0,"No",7000,118000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"122",124,2,"male",65,"Divorced",1949,1984,"Black",0,1,"College or greater",0,"No",10400,24400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"123",125,2,"female",70,"Married",1944,1973,"Otherse",1,1,"High school",0,"No",16800,19700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"124",126,2,"female",66,"Married",1948,1966,"white",0,1,"High school",40,"Yes",146300,185300,135000,0,0,"Not a veteran","PM","PM",0,"Employed"
"125",127,1,"female",75,"Divorced",1939,1958,"white",0,1,"College or greater",20,"Yes",208000,208000,69000,0,0,"Not a veteran","PM","PM",0,"Employed"
"126",128,1,"female",71,"Widowed",1943,1987,"white",0,1,"High school",0,"No",50000,50000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"127",129,1,"female",79,"Widowed",1935,1958,"white",0,1,"College or greater",0,"No",12610,12610,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"128",130,1,"female",75,"Widowed",1939,1984,"white",0,1,"College or greater",0,"No",17700,17700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"129",131,2,"female",86,"Married",1928,1952,"white",0,1,"College or greater",0,"No",5500,8500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"130",132,3,"male",68,"Married",1946,1980,"white",0,1,"College or greater",0,"No",55900,57500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"131",133,2,"female",75,"Widowed",1939,1991,"white",0,1,"Less than high school",0,"No",14400,14400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"132",134,2,"male",69,"Married",1945,1968,"white",1,1,"College or greater",0,"No, but worked 1-5 yrs age",35400,69900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"133",135,2,"male",69,"Married",1945,1965,"white",0,1,"High school",0,"No",58000,66400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"134",136,2,"female",69,"Married",1945,2008,"white",0,1,"College or greater",0,"No",18000,49500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"135",137,2,"female",77,"Married",1937,1962,"white",0,1,"College or greater",0,"No",20000,49300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"136",138,2,"male",84,"Married",1930,1951,"white",0,1,"Less than high school",0,"No",20600,26600,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"137",139,2,"male",75,"Married",1939,1960,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",362000,374400,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"138",140,1,"female",70,"Divorced",1944,1959,"Black",0,1,"High school",0,"No",10900,10900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"139",141,4,"female",75,"Widowed",1939,1965,"white",1,1,"High school",0,"No",20000,146000,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"140",142,1,"male",79,"Married",1935,1980,"white",0,1,"College or greater",0,"No",22690,22690,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"141",143,2,"female",76,"Married",1938,1984,"white",0,1,"College or greater",0,"No",32600,32600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"142",144,2,"male",67,"Married",1947,2003,"white",0,1,"High school",35,"Yes",13400,83400,0,12000,0,"Not a veteran","PM","PM",0,"Employed"
"143",145,5,"male",79,"Widowed",1935,1955,"Black",0,1,"Less than high school",0,"No",13000,121300,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"144",146,2,"female",71,"Divorced",1943,1963,"white",0,1,"High school",0,"No",20700,20700,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"145",147,5,"male",65,"Married",1949,1971,"white",1,1,"Less than high school",50,"Yes",35800,110900,35800,0,0,"Not a veteran","PM","PM",1,"Employed"
"146",148,3,"male",67,"Divorced",1947,1980,"Asian",0,1,"College or greater",0,"No",0,81000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"147",149,3,"male",72,"Divorced",1942,1968,"white",0,1,"College or greater",16,"Yes",25000,25000,10000,0,0,"Not a veteran","PM","PM",0,"Employed"
"148",150,4,"male",68,"Married",1946,1984,"white",0,1,"College or greater",55,"Yes",29000,55500,12000,0,0,"Not a veteran",NA,NA,1,"Employed"
"149",151,4,"female",66,"Widowed",1948,1974,"Asian",0,1,"High school",0,"No",48000,127000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"150",152,2,"male",76,"Married",1938,1977,"white",1,1,"High school",0,"No",22600,30600,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"151",153,2,"male",66,"Married",1948,1970,"white",0,1,"College or greater",40,"Yes",80000,93900,80000,0,0,"Not a veteran",NA,NA,0,"Employed"
"152",155,4,"female",89,"Married",1925,1959,"white",1,1,"High school",0,"No",7800,27200,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"153",156,2,"female",86,"Married",1928,1950,"white",0,1,"College or greater",0,"No",50800,146200,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"154",157,2,"female",81,"Married",1933,1955,"white",0,1,"College or greater",0,"No",2200,28800,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"155",159,3,"male",76,"Married",1938,1966,"white",0,1,"College or greater",0,"No",30001,60001,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"156",160,2,"female",67,"Widowed",1947,1967,"white",0,1,"High school",20,"Yes",23000,23800,3000,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"157",161,2,"male",68,"Married",1946,1983,"white",0,1,"College or greater",30,"Yes",118400,559400,12000,75000,0,"Not a veteran",NA,NA,0,"Employed"
"158",162,5,"female",66,"Married",1948,1980,"Asian",0,1,"College or greater",0,"No",11600,92600,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"159",163,2,"female",68,"Married",1946,1972,"Asian",0,1,"Less than high school",0,"No, but worked 1-5 yrs age",9400,17900,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"160",164,2,"male",88,"Married",1926,1952,"white",0,1,"College or greater",0,"No",37000,43740,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"161",165,5,"female",67,"Divorced",1947,1975,"white",0,1,"High school",0,"No",16800,16800,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"162",166,3,"male",65,"Never married",1949,0,"white",0,1,"College or greater",0,"No",21200,50101,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"163",167,1,"female",74,"Divorced",1940,1994,"white",0,1,"College or greater",40,"Yes",58000,58000,40000,0,0,"Not a veteran","PM","PM",0,"Employed"
"164",168,6,"female",72,"Married",1942,1987,"white",1,1,"College or greater",15,"Yes",22800,55900,0,11800,0,"Not a veteran",NA,NA,1,"Not in labor force"
"165",169,2,"male",83,"Married",1931,1956,"white",0,1,"College or greater",0,"No",4830,12530,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"166",170,1,"male",79,"Divorced",1935,1957,"white",0,1,"College or greater",0,"No, but worked 1-5 yrs age",19300,19300,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"167",171,1,"female",74,"Widowed",1940,1959,"Asian",0,1,"Less than high school",0,"No",9500,9500,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"168",172,2,"male",77,"Married",1937,1970,"white",0,1,"College or greater",0,"No",109000,116000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
"169",173,2,"male",67,"Married",1947,1963,"Asian",0,1,"College or greater",0,"No, but worked 1-5 yrs age",25000,25000,0,0,0,"Not a veteran",NA,NA,1,"Not in labor force"
"170",174,4,"female",68,"Married",1946,1975,"white",0,1,"College or greater",20,"Yes",15500,94500,15500,0,0,"Not a veteran","PM","PM",1,"Employed"
"171",175,2,"male",90,"Married",1924,1942,"white",1,1,"Less than high school",0,"No",3300,31900,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"172",176,2,"male",94,"Married",1920,1951,"white",0,1,"College or greater",40,"Yes",215000,223000,1e+05,0,0,"Not a veteran","PM","PM",0,"Employed"
"173",177,2,"male",68,"Never married",1946,0,"white",0,1,"College or greater",0,"No",24400,15100,0,0,0,"Veteran",NA,NA,0,"Not in labor force"
"174",178,1,"male",67,"Married",1947,1977,"white",0,1,"College or greater",0,"No",6000,6000,0,0,0,"Not a veteran",NA,NA,0,"Not in labor force"
